timestamp,flux_nA
2025-11-02T07:33:38.720,-0.08
2025-11-02T07:33:39.229,-0.1
2025-11-02T07:33:39.744,-0.1
2025-11-02T07:33:40.247,-0.1
2025-11-02T07:33:40.760,-0.08
2025-11-02T07:33:41.262,-0.08
2025-11-02T07:33:41.764,-0.11
2025-11-02T07:33:42.269,-0.07
2025-11-02T07:33:42.778,-0.07
2025-11-02T07:33:43.270,-0.1
2025-11-02T07:33:43.784,-0.08
2025-11-02T07:33:44.291,-0.1
2025-11-02T07:33:44.842,-0.09
2025-11-02T07:33:45.295,-0.08
2025-11-02T07:33:45.797,-0.08
2025-11-02T07:33:46.305,-0.1
2025-11-02T07:33:46.804,-0.08
2025-11-02T07:33:47.311,-0.09
2025-11-02T07:33:47.818,-0.08
2025-11-02T07:33:48.304,-0.11
2025-11-02T07:33:48.804,-0.09
2025-11-02T07:33:49.316,-0.09
2025-11-02T07:33:49.796,-0.09
2025-11-02T07:33:50.310,-0.09
2025-11-02T07:33:50.805,-0.1
2025-11-02T07:33:51.308,-0.09
2025-11-02T07:33:51.806,-0.09
2025-11-02T07:33:52.300,-0.09
2025-11-02T07:33:52.816,-0.09
2025-11-02T07:33:53.324,-0.12
2025-11-02T07:33:53.813,-0.09
2025-11-02T07:33:54.330,-0.09
2025-11-02T07:33:54.849,-0.07
2025-11-02T07:33:55.330,-0.09
